Liberia,LBR,2.75636171e-02,-5.42712273e+01
Libya,LBY,2.53308831e-02,-5.00359359e+01
Liechtenstein,LIE,3.74895822e-02,-7.38825779e+01
Lithuania,LTU,5.28589544e-02,-1.02996364e+02
Luxembourg,LUX,3.18469791e-02,-6.12830011e+01
Madagascar,MDG,1.94144368e-02,-3.82788158e+01
Malawi,MWI,2.34045479e-02,-4.61028646e+01
Malaysia,MYS,2.33913802e-02,-4.61028938e+01
Maldives,MDV,1.60688312e-02,-3.15472364e+01
Mali,MLI,2.59643046e-02,-5.10327337e+01
Malta,MLT,3.21245373e-02,-6.33424127e+01
Marshall Islands,MHL,2.62548387e-02,-5.15091097e+01
Martinique,MTQ,1.95261237e-02,-3.84963648e+01
Mauritania,MRT,3.14948176e-02,-6.18912965e+01
Mauritius,MUS,1.64803279e-02,-3.25068410e+01
Mexico,MEX,2.41144897e-02,-4.76220637e+01
Micronesia,FSM,1.77403226e-02,-3.46790710e+01
Moldova,MDA,6.70115684e-02,-1.31205453e+02
Monaco,MCO,3.09306187e-02,-6.09624356e+01
Mongolia,MNG,3.49053411e-02,-6.86142062e+01
Montenegro,MNE,5.41691176e-02,-1.05099221e+02
Morocco,MAR,3.56748281e-02,-7.02459763e+01
Mozambique,MOZ,1.65814384e-02,-3.26737750e+01
Myanmar,MMR,2.40946589e-02,-4.75351872e+01
Namibia,NAM,2.78528821e-02,-5.48509243e+01
Nauru,NRU,2.05127820e-02,-4.04278368e+01
Nepal,NPL,1.64762559e-02,-3.25749633e+01
Netherlands,NLD,3.67628239e-02,-7.24915365e+01
New Zealand,NZL,1.42700687e-02,-2.81373954e+01
Nicaragua,NIC,2.06274458e-02,-4.06547692e+01
Niger,NER,2.51097303e-02,-4.94057189e+01
Nigeria,NGA,2.37907456e-02,-4.67967680e+01
North Macedonia,MKD,5.88803115e-02,-1.15329155e+02
Norway,NOR,3.53485986e-02,-6.97318631e+01
Oman,OMN,2.34071391e-02,-4.62027614e+01
Pakistan,PAK,2.10214172e-02,-4.15587565e+01
Palau,PLW,1.99015385e-02,-3.86238400e+01
Panama,PAN,1.98156598e-02,-3.90367509e+01
Papua New Guinea,PNG,1.70952935e-02,-3.37089753e+01
Paraguay,PRY,1.27004231e-02,-2.49529030e+01
Peru,PER,2.10804336e-02,-4.14853729e+01
Philippines,PHL,2.11438921e-02,-4.16566695e+01
Poland,POL,3.62008461e-02,-7.13793108e+01
Portugal,PRT,2.87258593e-02,-5.65705958e+01
